X1	X2	G
0.31	-0.46	1
0.78	4.47	1
-0.21	-0.54	1
0.19	1.65	1
-0.24	0.24	1
1.30	7.59	1
1.45	6.54	1
0.45	2.09	1
1.05	4.52	1
0.35	4.05	1
0.12	0.94	1
0.70	4.79	1
1.55	7.30	1
-0.54	-3.22	1
0.44	1.67	1
-0.86	-4.03	1
-0.58	-3.03	1
-0.55	-3.59	1
1.80	9.07	1
-0.73	-4.61	1
0.76	3.33	1
-1.05	-5.14	1
-1.64	-8.41	1
0.88	4.88	1
-1.78	-9.34	1
-0.21	-1.25	1
-0.04	-1.27	1
0.85	5.22	1
-0.27	-2.20	1
0.78	3.00	1
0.00	1.49	1
-0.98	-6.84	1
0.04	0.41	1
1.74	8.24	1
-1.37	-6.97	1
-0.57	-1.02	1
-0.61	-2.17	1
1.16	4.29	1
0.50	1.97	1
-0.21	-0.52	1
0.44	1.52	1
-0.45	0.09	1
-1.23	-5.03	1
-0.50	-1.92	1
-2.52	-12.14	1
-2.18	-10.91	1
0.45	2.77	1
1.58	8.74	1
0.37	1.45	1
-0.94	-3.66	1
0.33	2.61	1
-0.33	-1.99	1
0.56	3.22	1
-0.48	-0.29	1
0.87	3.70	1
1.61	7.42	1
2.31	10.27	1
-0.93	-5.39	1
0.06	-0.24	1
0.60	2.54	1
-1.16	-7.08	1
2.61	13.80	1
-0.46	-3.21	1
0.19	0.34	1
0.67	6.48	1
2.18	11.15	1
-1.12	-6.97	1
1.19	7.29	1
1.03	4.89	1
0.33	3.14	1
1.16	5.69	1
-1.13	-6.87	1
1.25	3.76	1
0.52	4.23	1
0.38	2.32	1
-0.82	-3.82	1
1.50	7.54	1
0.95	4.32	1
-2.35	-10.57	1
0.10	2.40	1
-0.21	-0.44	1
-0.24	-0.69	1
1.16	4.21	1
2.11	11.07	1
1.33	6.65	1
0.21	-0.11	1
0.25	1.42	1
-1.02	-4.52	1
-0.30	-2.18	1
-0.02	-0.01	1
-1.02	-7.31	1
1.69	7.33	1
0.46	1.01	1
1.48	7.87	1
-1.72	-8.12	1
-0.38	-1.28	1
-0.88	-4.84	1
-0.29	-1.35	1
0.74	4.33	1
-0.53	-2.51	1
1.66	8.12	1
1.09	5.83	1
0.29	3.07	1
-0.65	-3.62	1
1.11	6.05	1
0.63	4.83	1
0.35	0.93	1
-0.19	-0.25	1
-0.28	-2.26	1
0.55	2.98	1
0.40	2.23	1
3.32	16.95	1
-0.66	-3.02	1
-0.51	-3.94	1
-0.70	-4.59	1
-0.54	-3.31	1
-0.61	-1.33	1
0.52	1.07	1
1.13	6.09	1
0.42	0.80	1
-0.24	-0.70	1
-1.06	-4.25	1
-0.11	-0.77	1
-2.71	-11.50	1
0.76	1.11	1
-0.81	-3.78	1
-1.78	-7.65	1
-1.13	-5.01	1
-0.28	-1.23	1
-0.65	-3.61	1
0.37	0.85	1
0.45	2.28	1
-0.04	-1.24	1
-0.21	-0.19	1
1.97	8.61	1
0.04	-1.00	1
1.07	5.89	1
-0.11	-1.67	1
-1.05	-4.68	1
-1.45	-5.64	1
-0.08	-1.05	1
0.82	3.51	1
0.15	2.16	1
-0.71	-3.59	1
0.03	1.52	1
0.23	-0.70	1
1.06	8.07	1
0.67	3.63	1
-0.76	-3.00	1
0.83	3.57	1
-1.52	-8.50	1
0.95	4.88	1
0.14	1.62	1
-0.54	-3.02	1
0.90	4.59	1
-0.43	-2.75	1
1.19	5.42	1
-1.40	-7.52	1
-0.45	-1.34	1
0.00	0.39	1
-0.68	-4.48	1
-1.24	-8.20	1
-2.30	-10.80	1
1.12	5.92	1
-2.60	-14.18	1
-1.32	-6.26	1
1.33	6.17	1
0.80	2.61	1
1.29	6.59	1
-0.58	-0.69	1
-2.60	-13.56	1
-0.96	-5.58	1
0.59	3.55	1
-0.21	-1.23	1
0.13	0.17	1
0.22	1.17	1
0.42	0.36	1
0.81	2.46	1
-1.30	-6.28	1
-0.89	-4.51	1
0.03	-0.14	1
-0.92	-5.02	1
-1.84	-8.72	1
1.60	7.73	1
-0.26	0.39	1
0.45	1.17	1
-0.51	-4.42	1
-1.02	-4.27	1
0.81	4.12	1
0.41	2.01	1
2.21	12.06	1
-0.50	-1.88	1
0.00	0.96	1
-0.11	-0.66	1
0.91	5.42	1
-1.56	-9.46	1
-0.43	-1.16	1
0.68	1.50	1
0.22	1.26	1
-1.04	-6.48	1
0.67	3.34	1
1.56	7.07	1
0.10	2.44	1
-0.36	-3.04	1
-0.07	0.73	1
-0.37	-2.36	1
1.26	6.23	1
-0.31	-3.48	1
0.28	2.99	1
-0.11	2.28	1
1.27	5.38	1
1.23	6.15	1
-1.01	-4.30	1
-0.82	-3.11	1
0.64	1.82	1
-0.93	-4.34	1
0.36	1.62	1
2.23	9.54	1
1.40	5.92	1
0.09	1.73	1
-1.40	-8.48	1
-1.56	-7.10	1
0.47	1.45	1
-0.25	-1.17	1
-0.31	1.67	1
0.07	-0.46	1
-0.28	-0.92	1
0.65	2.75	1
1.67	9.04	1
-1.13	-6.19	1
-0.61	-4.80	1
-0.02	1.07	1
1.48	7.03	1
-1.20	-3.53	1
-0.24	-0.55	1
-0.17	-1.81	1
0.09	2.48	1
-1.88	-8.86	1
-0.19	-1.36	1
-0.18	-1.04	1
0.77	4.47	1
1.01	6.25	1
-0.64	-2.45	1
0.73	5.01	1
-1.56	-8.60	1
-0.91	-3.58	1
-0.89	-4.62	1
-2.08	-11.79	1
0.69	2.91	1
-0.38	-0.11	1
0.41	0.88	1
-0.83	-4.18	1
-1.04	-5.52	1
1.26	6.25	1
-0.30	-1.77	1
-0.21	-2.61	1
-1.22	-5.21	1
0.05	-1.42	1
-0.29	-3.11	1
0.76	4.90	1
-0.05	-0.18	1
-0.31	-1.72	1
0.36	2.81	1
-2.17	-11.79	1
-2.50	-12.99	1
-2.06	-11.38	1
0.32	2.50	1
0.25	-0.11	1
-0.08	-0.77	1
-0.64	-4.81	1
-1.70	-8.84	1
-0.44	-2.26	1
0.36	1.27	1
-0.72	-4.11	1
-0.33	0.05	1
0.71	3.75	1
-0.94	-4.87	1
0.24	-0.39	1
0.80	5.62	1
1.69	8.72	1
-0.20	0.56	1
0.65	3.10	1
0.57	2.81	1
-0.70	-2.47	1
0.23	0.52	1
0.90	3.99	1
-1.67	-8.18	1
0.84	5.54	1
-1.75	-8.49	1
0.32	0.43	1
-0.84	-3.41	1
-0.36	-2.63	1
0.48	4.09	1
