X1	X2	Y
-4.03	-3.30	1
-0.43	-0.29	1
-1.40	0.06	1
-3.64	-3.00	1
0.06	1.17	1
-0.55	1.20	1
-6.19	-7.76	1
-5.56	-4.21	1
7.70	5.46	1
-2.49	-1.70	1
8.58	9.27	1
-7.26	-7.66	1
-2.89	-0.84	1
6.65	4.55	1
1.62	1.00	1
-1.89	-0.59	1
1.33	-0.63	1
-4.42	-5.61	1
-8.82	-10.34	1
8.58	8.96	1
0.34	0.53	1
10.12	10.62	1
12.03	11.50	1
0.30	0.49	1
1.86	2.93	1
-13.16	-14.20	1
1.44	1.61	1
6.08	6.29	1
9.12	10.01	1
15.03	13.79	1
0.49	-1.94	1
2.34	2.10	1
-4.74	-4.80	1
5.08	6.45	1
-0.78	-1.32	1
7.30	6.84	1
-1.54	-1.44	1
-10.56	-11.94	1
-6.01	-7.80	1
-3.04	-2.68	1
13.01	10.77	1
4.64	5.06	1
-1.81	1.48	1
-13.11	-14.80	1
-3.81	-2.13	1
13.35	13.68	1
-1.07	-0.56	1
-2.25	-1.57	1
4.79	4.38	1
-5.91	-6.26	1
4.23	6.33	1
-2.59	-3.85	1
5.04	5.91	1
6.49	6.01	1
-2.33	-4.98	1
-5.52	-5.42	1
9.67	7.05	1
4.10	0.68	1
11.41	10.28	1
-0.07	-0.58	1
-10.96	-11.53	1
-4.27	-3.92	1
0.23	3.29	1
4.99	6.00	1
3.01	4.14	1
-1.95	-3.56	1
2.09	1.09	1
4.75	2.53	1
-1.43	-0.23	1
-3.34	-2.02	1
-2.97	-2.22	1
-5.76	-8.50	1
1.84	1.79	1
-2.98	-3.18	1
-2.30	-3.17	1
1.10	-1.46	1
5.18	9.35	1
-14.63	-15.83	1
-3.78	-5.44	1
3.50	4.36	1
10.66	11.10	1
7.72	7.14	1
-10.45	-10.45	1
4.94	4.23	1
10.35	10.81	1
-4.70	-4.68	1
0.63	0.42	1
-4.56	-5.32	1
6.60	6.73	1
-8.97	-9.53	1
2.84	2.51	1
-0.86	1.67	1
0.14	2.12	1
-9.12	-8.76	1
-13.66	-13.50	1
-10.20	-12.21	1
3.42	2.48	1
11.83	12.46	1
-7.21	-5.95	1
-8.96	-10.56	1
4.44	3.57	1
-2.32	-2.95	1
4.10	1.95	1
-7.75	-5.87	1
-11.93	-13.25	1
-6.84	-8.04	1
3.72	3.24	1
-1.52	-0.15	1
7.62	7.56	1
-11.06	-11.18	1
12.15	10.46	1
-3.00	-2.02	1
0.11	-2.06	1
1.85	2.86	1
-4.76	-5.34	1
12.09	9.96	1
8.30	8.70	1
13.73	12.58	1
-1.89	-2.17	1
3.19	3.16	1
-0.04	-1.83	1
-5.26	-5.92	1
-10.21	-9.37	1
5.43	3.87	1
-4.45	-3.11	1
-0.44	-2.44	1
5.06	4.70	1
7.13	5.09	1
11.82	10.68	1
5.37	5.37	1
9.31	6.73	1
-1.34	-0.89	1
-9.46	-9.96	1
0.11	-0.24	1
-2.88	-1.74	1
0.61	0.25	1
-2.14	-2.53	1
-0.55	-0.97	1
-8.86	-8.22	1
-5.57	-5.39	1
14.23	14.83	1
8.18	7.69	1
-2.82	-3.63	1
0.21	2.65	1
10.20	8.37	1
-4.45	-5.35	1
-1.15	-3.14	1
7.87	10.29	1
-4.92	-2.06	1
9.73	11.25	1
-2.08	-2.80	1
-6.41	-4.63	1
0.59	2.99	1
5.07	6.03	1
3.65	1.84	1
-3.11	-3.26	1
-1.18	-3.14	1
-2.57	-1.28	1
-6.49	-8.80	1
2.59	0.08	1
8.99	9.57	1
-0.57	-2.60	1
6.34	7.77	1
2.99	3.02	1
-7.63	-6.18	1
0.07	0.92	1
-3.73	-3.65	1
3.81	1.51	1
17.81	15.56	1
0.87	1.18	1
-1.38	-1.56	1
2.57	5.14	1
5.85	5.23	1
-3.35	-2.01	1
4.48	5.13	1
-1.70	-1.59	1
-0.90	-0.56	1
-13.09	-15.11	1
-6.95	-8.21	1
8.57	8.18	1
4.70	4.54	1
7.70	5.89	1
2.47	4.17	1
-14.04	-15.65	1
0.39	1.39	1
1.60	0.76	1
-4.45	-4.49	1
5.01	5.33	1
4.28	3.68	1
0.94	1.30	1
-8.44	-10.42	1
-4.13	-1.31	1
-6.51	-7.37	1
-5.12	-5.20	1
-4.61	-5.76	1
5.81	6.09	1
6.97	7.56	1
-8.16	-6.63	1
8.84	7.79	1
3.41	4.29	1
7.43	8.90	1
-6.31	-4.85	1
-11.24	-11.91	1
-14.47	-14.90	1
-6.29	-6.19	1
6.54	6.28	1
-14.00	-12.99	1
-7.05	-6.71	1
0.67	-2.05	1
-7.60	-6.23	1
0.16	0.86	1
-0.56	-2.16	1
5.67	3.92	1
-1.52	-0.10	1
-1.75	-1.11	1
-5.38	-4.26	1
2.16	1.63	1
16.15	16.62	1
15.25	16.01	1
-14.42	-13.68	1
-2.00	-0.25	1
-1.06	-2.70	1
-3.17	-4.83	1
5.73	7.75	1
-11.43	-10.69	1
-1.46	-1.56	1
-3.62	-2.59	1
4.89	4.11	1
-7.09	-5.20	1
-5.73	-6.52	1
4.43	5.80	1
-2.67	-3.82	1
8.55	5.43	1
16.64	15.70	1
-12.62	-10.71	1
4.25	3.65	1
-1.49	-2.17	1
-3.72	-3.83	1
-8.40	-5.67	1
-0.22	-0.91	1
-2.87	-1.82	1
16.93	15.06	1
-4.21	-1.84	1
-6.85	-5.60	1
17.64	19.36	1
-3.01	-5.73	1
-1.11	-0.98	1
13.52	15.04	1
-9.73	-11.29	1
-1.16	-1.80	1
1.24	3.36	1
-13.63	-13.26	1
-2.76	-2.52	1
-1.83	-3.43	1
3.53	2.37	1
-12.28	-14.92	1
4.09	2.79	1
6.36	7.60	1
10.45	9.25	1
-2.52	-3.50	1
-2.33	-2.81	1
11.24	13.40	1
-1.05	-1.81	1
-11.74	-11.09	1
-11.07	-11.95	1
12.40	12.32	1
-1.74	-3.28	1
1.32	1.56	1
-9.02	-7.41	1
5.72	3.86	1
3.55	1.20	1
-0.92	-0.25	1
-3.69	-3.18	1
4.40	2.42	1
-17.90	-18.30	1
-1.71	-3.04	1
-4.51	-4.90	1
7.48	6.20	1
-0.37	-0.07	1
1.55	1.90	1
3.85	2.39	1
8.34	9.06	1
1.55	2.62	1
7.17	8.54	1
-3.50	-4.32	1
3.64	2.37	1
-13.76	-15.33	1
2.55	-0.07	1
9.28	9.50	1
8.01	7.04	1
5.28	7.25	1
11.50	11.62	1
-5.19	-3.55	1
4.90	4.07	1
-3.08	-4.99	1
-7.44	-10.34	1
5.25	6.97	1
3.90	6.34	1
4.34	3.61	1
-8.53	-8.29	1
7.22	7.66	1
11.37	11.19	1
-3.17	-3.86	1
0.79	0.11	1
7.99	8.75	1
-5.09	-7.13	1
-3.88	-3.01	1
8.47	9.96	1
-6.56	-7.98	1
-3.73	-5.38	1
-4.76	-6.63	1
-7.14	-4.21	1
-4.44	-2.32	1
11.97	11.44	1
-3.42	-4.76	1
-3.33	-2.87	1
-12.59	-11.59	1
-2.03	-2.12	1
-7.08	-7.42	1
-3.82	-2.80	1
7.23	7.69	1
-2.35	-1.06	1
-14.15	-12.28	1
1.82	2.84	1
14.07	12.07	1
-15.85	-17.56	1
8.51	8.83	1
-2.82	0.21	1
0.42	0.28	1
-7.75	-6.97	1
-2.11	-3.29	1
-2.21	-3.20	1
4.26	1.95	1
6.07	9.61	1
-6.10	-5.96	1
-12.54	-11.99	1
0.40	-1.27	1
3.07	1.40	1
-0.95	-1.33	1
8.86	8.84	1
0.09	-1.55	1
-2.05	0.72	1
-4.39	-6.33	1
-1.72	-1.05	1
5.02	4.40	1
-17.31	-16.36	1
6.30	8.02	1
4.22	1.84	1
9.20	7.76	1
3.06	1.65	1
-5.67	-7.00	1
-3.76	-4.26	1
5.81	7.80	1
-0.88	0.75	1
-4.89	-6.85	1
-6.58	-5.83	1
4.20	5.15	1
-4.48	-3.85	1
0.79	1.81	1
1.80	4.28	1
3.01	2.71	1
2.50	4.75	1
-8.39	-8.60	1
7.21	6.85	1
5.00	4.63	1
5.74	7.10	1
-2.47	-1.75	1
7.25	9.93	1
-4.28	-4.88	1
-5.27	-4.54	1
3.47	1.73	1
-0.81	-2.73	1
3.84	2.08	1
0.93	0.99	1
4.49	4.46	1
12.65	11.32	1
2.30	0.82	1
-7.96	-10.06	1
-3.54	-4.15	1
4.61	1.72	1
4.65	5.31	1
8.85	9.27	1
8.94	7.93	1
6.78	6.28	1
10.01	9.16	1
-6.38	-7.46	1
5.75	5.77	1
-0.57	-2.95	1
-8.98	-9.38	1
-4.26	-1.16	1
-8.15	-9.81	1
1.72	5.68	1
0.28	0.62	1
1.86	2.00	1
6.99	5.86	1
-6.28	-5.58	1
-15.45	-14.84	1
-3.92	-4.57	1
5.29	5.23	1
-1.77	-0.84	1
2.51	4.71	1
-1.54	-0.30	1
8.77	5.45	1
9.16	9.55	1
1.05	-0.48	1
0.11	-1.95	1
5.86	2.79	1
-5.31	-8.58	1
10.41	9.08	1
-1.14	0.04	1
2.80	5.75	1
5.04	6.72	1
7.44	8.08	1
-9.08	-7.82	1
-1.42	-2.31	1
2.27	3.44	1
-4.81	-3.25	1
9.27	10.70	1
3.41	2.13	1
0.38	0.00	1
-2.30	-1.01	1
-1.81	-4.14	1
7.76	8.38	1
-3.76	-2.99	1
-2.40	-3.06	1
4.46	5.39	1
5.95	5.04	1
-2.05	-1.61	1
7.39	6.42	1
-0.86	-2.12	1
12.12	12.64	1
10.23	8.69	1
2.21	3.46	1
6.61	5.63	1
-6.49	-5.05	1
3.94	4.98	1
-5.28	-2.45	1
5.66	6.56	1
-0.96	0.14	1
-1.36	-4.26	1
6.02	2.37	1
14.03	14.38	1
0.41	-1.81	1
-5.21	-7.21	1
1.26	0.77	1
-1.09	0.97	1
-4.08	-6.55	1
1.91	1.42	1
-0.12	-0.61	1
-10.39	-8.43	1
13.83	14.89	1
10.02	11.23	1
10.57	8.21	1
-14.08	-15.61	1
-1.82	-0.99	1
-9.48	-10.67	1
2.62	3.03	1
1.93	1.50	1
-4.21	-4.40	1
5.22	2.04	1
-1.82	-0.08	1
1.64	3.26	1
-2.36	-1.84	1
7.95	9.12	1
-1.00	-1.82	1
7.24	7.30	1
0.75	0.26	1
7.98	6.59	1
12.41	12.24	1
-3.39	-4.58	1
2.17	2.14	1
-6.29	-6.37	1
8.59	9.75	1
-10.14	-11.95	1
-2.66	-2.69	1
-8.08	-4.43	1
-2.73	-3.53	1
9.13	10.44	1
1.49	2.10	1
-1.87	-3.50	1
3.06	2.93	1
-6.61	-9.41	1
-0.89	-1.64	1
6.62	8.07	1
0.20	2.83	1
6.01	5.70	1
0.03	1.78	1
-10.29	-6.37	1
-7.33	-6.60	1
-0.23	-0.08	1
2.27	1.76	1
-11.23	-10.24	1
-5.79	-7.98	1
-8.29	-7.02	1
-8.24	-9.79	1
3.28	4.70	1
-0.91	-1.61	1
1.43	0.43	1
1.71	1.60	1
-5.53	-6.87	1
13.52	14.02	1
-5.27	-4.94	1
1.48	-0.58	1
-6.54	-6.19	1
9.87	10.43	1
-6.40	-5.02	1
1.51	1.69	1
-3.23	-2.24	1
2.80	1.52	1
-16.07	-16.58	1
15.05	14.62	1
4.51	3.42	1
-6.43	-5.31	1
10.49	10.48	1
-6.21	-4.61	1
2.52	2.92	1
-0.14	1.11	1
-3.35	-2.09	1
17.21	14.22	1
-2.86	-2.24	1
-4.17	-1.65	1
-2.62	-2.06	1
-4.03	-3.81	1
2.41	0.32	1
-12.73	-14.49	1
-6.26	-6.35	1
3.93	6.04	1
4.01	2.44	1
3.17	1.64	1
-3.46	-3.85	1
3.85	5.36	1
-4.56	-5.50	1
-9.73	-10.16	1
2.85	-0.75	1
0.68	1.99	1
-7.20	-7.01	1
-0.33	0.39	1
-11.26	-9.03	1
9.56	11.06	1
-5.48	-6.59	1
-6.69	-8.51	1
-0.49	0.76	1
-5.03	-5.29	1
-12.76	-10.31	1
-1.15	-0.93	1
-1.73	-2.56	1
2.51	1.14	1
-1.19	-1.79	1
0.46	2.49	1
-6.08	-4.83	1
-11.44	-9.93	1
4.55	3.27	1
13.45	11.48	1
4.09	5.78	1
2.74	5.52	1
15.20	14.72	1
-7.20	-5.60	1
-5.32	-4.05	1
-6.54	-5.53	1
3.54	4.21	1
-5.60	-6.86	1
-7.30	-6.98	1
3.26	4.04	1
-3.82	-3.18	1
-2.93	-2.78	1
-7.00	-8.41	1
3.78	2.54	1
-4.52	-4.66	1
3.65	4.86	1
2.65	4.27	1
8.58	8.67	1
-9.22	-8.97	1
8.39	8.75	1
-2.73	-3.52	1
0.32	0.42	1
-0.92	-3.40	1
-0.15	-0.59	1
5.94	7.11	1
2.39	0.49	1
2.48	2.34	1
5.56	3.99	1
-7.67	-8.72	1
3.61	4.37	1
11.45	10.07	1
2.29	2.13	1
-1.34	-1.28	1
8.77	8.93	1
1.89	-1.03	1
12.87	10.44	1
6.00	7.48	1
-4.99	-3.65	1
2.58	2.99	1
-3.70	-4.93	1
1.42	0.97	1
-11.33	-10.89	1
4.31	5.79	1
-12.31	-12.05	1
-3.40	0.02	1
-7.68	-8.74	1
-0.77	-1.50	1
-4.64	-1.97	1
7.97	6.78	1
-14.49	-17.34	1
0.92	4.14	1
7.85	8.48	1
1.45	2.37	1
10.41	12.27	1
-15.18	-14.62	1
10.02	10.53	1
0.47	-1.66	1
13.74	13.44	1
-6.49	-6.68	1
8.37	8.55	1
8.25	12.11	1
0.36	0.72	1
-0.81	-2.90	1
-0.56	-1.44	1
-3.91	-5.27	1
-3.85	-6.69	1
4.64	7.20	1
-1.07	-0.82	1
12.01	10.53	1
6.46	7.52	1
-12.00	-9.90	1
-9.89	-11.44	1
0.93	-0.35	1
-5.01	-5.19	1
4.38	3.01	1
-3.58	-3.96	1
0.43	-1.55	1
-7.52	-7.57	1
0.09	-0.14	1
4.72	3.71	1
-6.38	-6.19	1
5.52	6.50	1
6.24	7.22	1
7.29	7.39	1
0.62	1.58	1
-18.54	-19.23	1
-3.04	-4.12	1
6.71	7.05	1
8.82	8.50	1
-3.54	-2.92	1
6.45	4.40	1
0.07	0.28	1
-11.14	-10.95	1
-3.92	-2.90	1
-3.12	-5.15	1
-14.35	-16.33	1
-0.58	-0.76	1
-5.90	-4.67	1
-0.19	-2.70	1
1.07	0.11	1
19.15	17.38	1
-1.41	-1.48	1
3.16	2.36	1
-4.86	-5.34	1
20.89	19.03	1
12.30	12.39	1
-3.91	-3.04	1
1.37	2.05	1
4.47	1.67	1
5.31	5.69	1
-0.27	1.15	1
11.31	11.12	1
-18.64	-19.09	1
6.89	4.87	1
6.51	6.01	1
2.81	2.04	1
0.26	-0.66	1
1.46	0.49	1
-1.80	-1.82	1
1.45	-2.07	1
-2.21	-1.50	1
11.39	10.96	1
-16.46	-16.14	1
6.66	6.06	1
5.44	6.25	1
0.73	-0.30	1
-16.87	-16.62	1
-2.93	-4.90	1
4.23	2.56	1
16.55	16.51	1
-3.23	-4.86	1
-0.96	-0.70	1
6.62	8.73	1
-3.59	-6.25	1
-6.75	-9.66	1
-12.08	-10.54	1
-5.99	-6.43	1
-1.89	-1.24	1
4.37	4.54	1
-5.92	-2.16	1
5.99	5.51	1
10.68	9.11	1
-5.93	-5.48	1
-2.74	-1.74	1
3.57	1.16	1
-8.26	-10.47	1
-2.62	-1.55	1
-6.48	-4.98	1
4.44	6.81	1
1.64	1.58	1
4.41	5.49	1
8.43	9.57	1
-6.28	-5.82	1
2.43	4.47	1
2.12	0.07	1
4.76	4.73	1
-6.34	-5.87	1
7.84	8.66	1
-0.33	1.19	1
-13.33	-12.53	1
10.86	12.20	1
-6.82	-8.27	1
11.74	12.36	1
-10.21	-9.21	1
9.69	11.33	1
-14.35	-10.92	1
11.42	8.74	1
-0.13	0.03	1
-7.45	-6.79	1
11.42	10.17	1
10.58	11.60	1
2.32	2.10	1
10.72	9.99	1
-0.97	-1.15	1
22.52	19.81	1
-6.63	-6.01	1
-3.26	-1.09	1
2.93	2.26	1
5.52	6.25	1
-8.92	-6.94	1
12.39	11.66	1
13.93	15.59	1
-8.47	-7.04	1
-4.09	-2.02	1
4.35	7.12	1
-13.59	-15.23	1
7.78	7.81	1
-1.81	-1.72	1
16.35	16.24	1
-2.02	-1.63	1
7.04	4.93	1
-8.97	-8.95	1
13.38	13.69	1
12.07	10.22	1
2.28	3.68	1
-5.99	-7.30	1
-9.28	-10.27	1
-6.04	-5.69	1
-5.66	-5.18	1
-4.93	-5.78	1
-4.33	-2.79	1
-3.98	-3.57	1
-6.17	-5.18	1
5.85	7.00	1
7.89	7.15	1
12.94	14.92	1
-5.18	-5.94	1
4.80	5.04	1
-8.44	-7.83	1
-2.28	-1.20	1
-7.50	-8.85	1
-5.76	-7.29	1
4.67	5.69	1
3.63	2.19	1
1.68	-1.04	1
-15.57	-14.92	1
-1.15	-2.57	1
-1.76	-2.71	1
-0.89	-1.13	1
5.18	5.60	1
4.12	5.05	1
5.77	4.22	1
-6.28	-5.83	1
-5.21	-3.70	1
-2.74	-3.64	1
1.79	-0.88	1
-8.69	-6.81	1
3.29	5.13	1
6.13	5.13	1
-17.49	-16.01	1
-8.49	-8.41	1
10.82	11.53	1
-8.57	-8.39	1
-7.27	-7.25	1
-6.63	-5.77	1
1.87	1.94	1
-4.92	-6.98	1
-9.86	-9.99	1
7.11	6.50	1
-5.50	-5.50	1
0.14	2.22	1
-3.21	-2.57	1
-8.83	-6.01	1
3.56	3.38	1
-4.56	-3.43	1
3.85	0.66	1
2.18	3.61	1
-10.46	-11.30	1
1.36	2.53	1
14.10	15.40	1
3.61	4.80	1
-7.27	-7.14	1
3.35	2.43	1
4.75	4.13	1
1.77	0.14	1
2.73	3.97	1
13.56	14.55	1
-1.59	-3.39	1
-3.97	-2.09	1
-3.97	-4.43	1
5.51	5.75	1
-3.21	-1.67	1
-1.63	0.79	1
-6.54	-5.99	1
0.63	1.87	1
-10.88	-10.83	1
-1.25	-1.20	1
-3.06	-3.92	1
-7.64	-7.12	1
-5.86	-4.48	1
7.15	7.91	1
0.69	-0.20	1
-8.31	-7.99	1
6.47	6.17	1
2.78	1.17	1
-3.32	-4.73	1
1.88	3.84	1
-7.74	-11.08	1
2.37	4.62	1
4.92	7.44	1
10.58	12.50	1
-0.61	-2.09	1
-15.50	-16.80	1
-13.20	-13.47	1
-4.22	-4.84	1
-18.17	-19.72	1
3.65	2.56	1
-2.07	-2.97	1
-8.38	-9.99	1
7.80	7.55	1
-6.26	-4.27	1
-3.57	-5.97	1
13.94	11.59	1
-3.51	-3.12	1
-1.84	-0.71	1
6.75	5.15	1
-3.72	-3.19	1
2.58	3.83	1
6.10	5.40	1
-7.01	-6.49	1
-2.82	-2.33	1
-4.66	-3.59	1
-0.32	0.22	1
-3.63	-4.09	1
-1.00	-0.37	1
11.51	12.07	1
-7.18	-7.84	1
3.16	3.54	1
3.05	2.86	1
-2.93	-2.04	1
7.42	7.42	1
0.04	2.49	1
-13.20	-13.70	1
3.09	4.13	1
-0.21	0.91	1
-10.60	-10.05	1
-5.28	-0.91	1
0.39	1.83	1
3.29	2.52	1
-6.46	-7.08	1
2.13	3.34	1
10.35	10.07	1
-1.13	-1.86	1
6.33	5.05	1
8.69	7.67	1
-2.22	-2.44	1
0.39	-1.90	1
6.34	6.93	1
-3.32	-2.37	1
11.99	12.35	1
2.75	3.95	1
7.18	7.42	1
12.05	13.17	1
-3.10	-1.74	1
0.90	1.74	1
1.10	1.30	1
-4.27	-6.43	1
13.48	11.57	1
-1.14	-2.14	1
9.85	7.79	1
-1.32	0.55	1
-10.17	-10.08	1
4.34	3.89	1
3.35	4.15	1
-12.42	-14.75	1
-7.92	-6.59	1
10.48	10.26	1
8.23	8.29	1
5.65	4.46	1
-8.98	-7.34	1
-10.99	-9.02	1
-2.90	-3.82	1
-1.06	-1.88	1
8.76	9.85	1
0.01	0.42	1
-3.38	-2.41	1
5.78	3.88	1
8.68	6.63	1
-0.31	0.46	1
-0.97	0.96	1
2.34	2.80	1
4.98	5.97	1
-8.47	-9.39	1
-11.18	-11.41	1
3.06	4.45	1
-13.22	-11.10	1
1.83	3.01	1
-0.89	-0.23	1
0.82	-1.43	1
6.03	6.06	1
3.97	2.09	1
11.11	11.90	1
-3.35	-1.89	1
0.05	1.51	1
0.12	-0.59	1
-5.37	-4.15	1
2.43	4.32	1
-0.44	1.94	1
-3.29	-5.31	1
-0.05	-0.15	1
7.48	9.72	1
9.25	10.52	1
-2.28	-1.34	1
6.39	6.59	1
14.22	12.76	1
1.98	0.55	1
-10.31	-8.15	1
15.11	16.48	1
-3.24	-2.01	1
1.19	1.62	1
-3.65	-3.07	1
-6.25	-6.98	1
-11.22	-10.78	1
12.86	14.76	1
2.63	2.98	1
-2.71	-0.40	1
-2.02	-2.80	1
11.11	11.15	1
-6.71	-4.81	1
3.06	2.07	1
1.05	2.99	1
7.73	6.78	1
0.70	-1.02	1
-2.57	-4.28	1
-3.82	-5.54	1
-9.74	-12.44	1
-9.24	-7.99	1
2.98	1.77	1
3.92	4.95	1
1.42	0.18	1
-6.86	-7.74	1
-12.93	-10.68	1
1.30	1.99	1
-3.59	-2.68	1
2.70	2.20	1
-5.99	-6.94	1
-7.36	-8.64	1
5.97	6.86	1
-1.10	-0.64	1
9.08	8.43	1
-2.15	-2.09	1
3.54	3.57	1
-14.40	-15.20	1
-2.12	-5.15	1
-1.47	-2.69	1
-3.71	-3.59	1
7.28	9.54	1
3.13	5.13	1
-12.77	-13.64	1
0.04	0.78	1
4.90	4.04	1
-2.62	-2.56	1
7.09	5.58	1
-6.41	-8.31	1
1.11	0.39	1
-7.57	-7.29	1
-5.03	-5.58	1
-11.31	-11.07	1
7.13	7.41	1
0.76	1.83	1
3.37	4.97	1
0.01	-0.71	1
-2.58	-5.05	1
-14.41	-14.55	1
2.04	3.07	1
14.09	13.03	1
11.62	9.51	1
9.98	-3.93	2
-14.20	4.40	2
2.80	1.08	2
10.78	-0.68	2
12.36	-5.64	2
11.66	-1.99	2
-3.08	-1.15	2
-4.65	1.96	2
-2.57	-0.45	2
-5.82	1.89	2
-1.04	-0.05	2
14.54	-2.94	2
8.33	-4.57	2
-9.50	2.39	2
-14.13	3.22	2
-2.80	2.68	2
-12.02	3.87	2
7.11	-1.22	2
-7.36	2.39	2
-9.94	1.97	2
6.46	-2.82	2
-7.31	2.83	2
4.15	-1.22	2
9.52	-0.51	2
-14.54	5.28	2
-1.07	0.10	2
-8.55	2.80	2
-20.02	6.92	2
-29.34	8.23	2
7.05	-1.40	2
-6.19	-0.01	2
-12.04	4.99	2
-1.08	1.88	2
-11.74	3.19	2
1.68	0.88	2
22.28	-7.10	2
-7.64	2.85	2
-19.51	7.53	2
-3.61	1.53	2
3.00	-2.71	2
-6.71	3.50	2
6.08	-1.51	2
0.97	-0.67	2
12.95	-3.01	2
-15.49	5.07	2
5.88	-1.54	2
-9.68	3.49	2
8.26	-2.57	2
0.81	1.13	2
2.88	-0.54	2
16.10	-3.40	2
-1.46	0.96	2
